,Survived,Pclass,Age,SibSp,Parch,Fare,Embarked,Sex
0,0,3,22.0,1,0,2.1102132003465894,2,0
1,1,1,38.0,1,0,4.2805931204649,0,1
2,1,3,26.0,0,0,2.188856327665703,2,1
3,1,1,35.0,1,0,3.9908341858524357,2,1
4,0,3,35.0,0,0,2.2027647577118348,2,0
5,0,3,29.69911764705882,0,0,2.246892662898172,1,0
6,0,1,54.0,0,0,3.967694202798607,2,0
7,0,3,29.69911764705882,3,1,3.0944457464900235,2,0
8,1,3,27.0,0,2,2.495953738718064,2,1
9,1,2,14.0,1,0,3.436268471383741,0,1
10,1,3,4.0,1,1,2.8735646395797834,2,1
11,1,1,29.69911764705882,0,0,3.3160025355989236,2,1
12,0,3,20.0,0,0,2.2027647577118348,2,0
13,0,3,39.0,1,5,3.4742929367327062,2,0
14,0,3,14.0,0,0,2.180891922715322,2,1
15,1,2,29.69911764705882,0,0,2.833213344056216,2,1
16,0,3,29.69911764705882,4,1,3.405355391810819,1,0
17,1,2,29.69911764705882,0,0,2.6390573296152584,2,0
18,0,3,31.0,1,0,2.9444389791664403,2,1
19,1,3,29.69911764705882,0,0,2.1071782966514356,0,1
20,0,2,35.0,0,0,3.295836866004329,2,0
21,1,2,34.0,0,0,2.6390573296152584,2,0
22,1,3,15.0,0,0,2.2004637699272855,1,1
23,1,1,28.0,0,0,3.597312260588446,2,0
24,0,3,8.0,3,1,3.0944457464900235,2,1
25,1,3,38.0,1,5,3.4777725458882283,2,1
26,0,3,29.69911764705882,0,0,2.1071782966514356,0,0
27,0,1,19.0,3,2,5.575949103146316,2,0
28,1,3,29.69911764705882,0,0,2.1837114628556327,1,1
29,0,3,29.69911764705882,0,0,2.1855792552411137,2,0
30,0,1,40.0,0,0,3.357621598945279,0,0
31,1,1,29.69911764705882,1,0,4.993969182787072,0,1
32,1,3,29.69911764705882,0,0,2.169053700369523,1,1
33,0,2,29.69911764705882,0,0,2.4423470353692043,2,0
34,0,1,28.0,1,0,4.420896324687287,0,0
35,0,1,42.0,1,0,3.970291913552122,2,0
36,1,3,29.69911764705882,0,0,2.1076888046179385,0,0
37,0,3,21.0,0,0,2.2027647577118348,2,0
38,0,3,18.0,2,0,2.9444389791664403,2,1
39,1,3,14.0,1,0,2.5048481563289,0,1
40,0,3,40.0,1,0,2.348991465808201,2,1
41,0,2,27.0,1,0,3.091042453358316,2,1
42,0,3,29.69911764705882,0,0,2.1855792552411137,0,0
43,1,2,3.0,1,2,3.7513658711253766,0,1
44,1,3,19.0,0,0,2.1837114628556327,1,1
45,0,3,29.69911764705882,0,0,2.2027647577118348,2,0
46,0,3,29.69911764705882,1,0,2.803360380906535,1,0
47,1,3,29.69911764705882,0,0,2.169053700369523,1,1
48,0,3,29.69911764705882,2,0,3.1214482048688246,0,0
49,0,3,18.0,1,0,2.9338568698359038,2,1
50,0,3,7.0,4,1,3.705920919968788,2,0
51,0,3,21.0,0,0,2.174751721484161,2,0
52,1,1,49.0,1,0,4.353230991152628,0,1
53,1,2,29.0,1,0,3.295836866004329,2,1
54,0,1,29.69911764705882,0,1,4.142804513146981,0,0
55,1,1,29.69911764705882,0,0,3.597312260588446,2,0
56,1,2,21.0,0,0,2.4423470353692043,2,1
57,0,3,28.5,0,0,2.1076888046179385,0,0
58,1,2,5.0,1,2,3.3586377672433594,2,1
59,0,3,11.0,5,2,3.8691155044168695,2,0
60,0,3,22.0,0,0,2.1076888046179385,0,0
61,1,1,38.0,0,0,4.394449154672439,3,1
62,0,1,45.0,1,0,4.436455632600354,2,0
63,0,3,4.0,3,2,3.3638415951183864,2,0
64,0,1,29.69911764705882,0,0,3.357621598945279,0,0
65,1,3,29.69911764705882,1,1,2.7878344138303452,0,0
66,1,2,29.0,0,0,2.4423470353692043,2,1
67,0,3,19.0,0,0,2.2146605719425225,2,0
68,1,3,17.0,4,2,2.188856327665703,2,1
69,0,3,26.0,2,0,2.2682524139135403,2,0
70,0,2,32.0,0,0,2.4423470353692043,2,0
71,0,3,16.0,5,2,3.8691155044168695,2,1
72,0,2,21.0,0,0,4.310799125385514,2,0
73,0,3,26.0,1,0,2.737880811060884,0,0
74,1,3,32.0,0,0,4.05171190165724,2,0
75,0,3,25.0,0,0,2.157559320943788,2,0
76,0,3,29.69911764705882,0,0,2.1855792552411137,2,0
77,0,3,29.69911764705882,0,0,2.2027647577118348,2,0
78,1,2,29.69911764705882,0,2,3.4011973816621555,2,0
79,1,3,30.0,0,0,2.600836116795061,2,1
80,0,3,22.0,0,0,2.302585092994046,2,0
81,1,3,29.0,0,0,2.3513752571634776,2,0
